origin_code,origin_name_ja,destination_code,destination_name_ja,commodity_code,commodity_ja,weight_origin_to_destination_tons_per_day,weight_destination_to_origin_tons_per_day,trucks_origin_to_destination_per_day,trucks_destination_to_origin_per_day,commodity_en,tokyo_direction,tokyo_counterpart_region_code,tokyo_counterpart_region_name_ja,tokyo_outbound_weight_tons_per_day,tokyo_inbound_weight_tons_per_day,tokyo_outbound_trucks_per_day,tokyo_inbound_trucks_per_day
28,兵庫県,13,東京都,1,農水産品・食料工業品,518.4969117,537.4908231,17.59969697,14.625,"Agricultural, marine, and food products",Tokyo inbound,28,兵庫県,537.4908231,518.4969117,14.625,17.59969697
29,奈良県,13,東京都,1,農水産品・食料工業品,92.42284382,42.6296828,12.4,0.0,"Agricultural, marine, and food products",Tokyo inbound,29,奈良県,42.6296828,92.42284382,0.0,12.4
30,和歌山県,13,東京都,1,農水産品・食料工業品,287.3293846,4.910060174,0.0,0.0,"Agricultural, marine, and food products",Tokyo inbound,30,和歌山県,4.910060174,287.3293846,0.0,0.0
31,鳥取県,13,東京都,1,農水産品・食料工業品,6.246100866,3.077420123,0.0,0.0,"Agricultural, marine, and food products",Tokyo inbound,31,鳥取県,3.077420123,6.246100866,0.0,0.0
32,島根県,13,東京都,1,農水産品・食料工業品,0.378857143,1.561829611,0.0,0.0,"Agricultural, marine, and food products",Tokyo inbound,32,島根県,1.561829611,0.378857143,0.0,0.0
33,岡山県,13,東京都,1,農水産品・食料工業品,1879.859615,33.90989844,12.46,0.0,"Agricultural, marine, and food products",Tokyo inbound,33,岡山県,33.90989844,1879.859615,0.0,12.46
34,広島県,13,東京都,1,農水産品・食料工業品,25.52083942,86.32902112,7.963333333,0.0,"Agricultural, marine, and food products",Tokyo inbound,34,広島県,86.32902112,25.52083942,0.0,7.963333333
35,山口県,13,東京都,1,農水産品・食料工業品,95.03752747,24.08275703,0.0,0.0,"Agricultural, marine, and food products",Tokyo inbound,35,山口県,24.08275703,95.03752747,0.0,0.0
36,徳島県,13,東京都,1,農水産品・食料工業品,240.8093894,58.06989123,0.0,0.0,"Agricultural, marine, and food products",Tokyo inbound,36,徳島県,58.06989123,240.8093894,0.0,0.0
37,香川県,13,東京都,1,農水産品・食料工業品,28.00963394,10.3546955,6.23,0.0,"Agricultural, marine, and food products",Tokyo inbound,37,香川県,10.3546955,28.00963394,0.0,6.23
38,愛媛県,13,東京都,1,農水産品・食料工業品,12.9370201,1.747165323,0.0,0.0,"Agricultural, marine, and food products",Tokyo inbound,38,愛媛県,1.747165323,12.9370201,0.0,0.0
39,高知県,13,東京都,1,農水産品・食料工業品,9.797459783,11.39671685,0.0,0.0,"Agricultural, marine, and food products",Tokyo inbound,39,高知県,11.39671685,9.797459783,0.0,0.0
40,福岡県,13,東京都,1,農水産品・食料工業品,303.8054071,194.1009523,2.125,0.0,"Agricultural, marine, and food products",Tokyo inbound,40,福岡県,194.1009523,303.8054071,0.0,2.125
41,佐賀県,13,東京都,1,農水産品・食料工業品,115.6731795,116.5557727,18.69,6.23,"Agricultural, marine, and food products",Tokyo inbound,41,佐賀県,116.5557727,115.6731795,6.23,18.69
42,長崎県,13,東京都,1,農水産品・食料工業品,95.90299184,5.221332772,1.733333333,6.23,"Agricultural, marine, and food products",Tokyo inbound,42,長崎県,5.221332772,95.90299184,6.23,1.733333333
43,熊本県,13,東京都,1,農水産品・食料工業品,63.45686393,15.92628664,4.818181818,0.0,"Agricultural, marine, and food products",Tokyo inbound,43,熊本県,15.92628664,63.45686393,0.0,4.818181818
44,大分県,13,東京都,1,農水産品・食料工業品,193.4272727,3.613370968,19.27272727,0.0,"Agricultural, marine, and food products",Tokyo inbound,44,大分県,3.613370968,193.4272727,0.0,19.27272727
45,宮崎県,13,東京都,1,農水産品・食料工業品,381.4541126,5.235153846,44.77545455,0.0,"Agricultural, marine, and food products",Tokyo inbound,45,宮崎県,5.235153846,381.4541126,0.0,44.77545455
46,鹿児島県,13,東京都,1,農水産品・食料工業品,553.5782131,16.23678893,17.27818182,0.0,"Agricultural, marine, and food products",Tokyo inbound,46,鹿児島県,16.23678893,553.5782131,0.0,17.27818182
47,沖縄県,13,東京都,1,農水産品・食料工業品,31.86353214,282.9545858,6.23,6.23,"Agricultural, marine, and food products",Tokyo inbound,47,沖縄県,282.9545858,31.86353214,6.23,6.23
90,全国,13,東京都,1,農水産品・食料工業品,2603.54259,1325.995138,211.375,32.38884462,"Agricultural, marine, and food products",Tokyo inbound,90,全国,1325.995138,2603.54259,32.38884462,211.375
92,東北,13,東京都,1,農水産品・食料工業品,1450.61235,81.43113597,96.79245283,0.0,"Agricultural, marine, and food products",Tokyo inbound,92,東北,81.43113597,1450.61235,0.0,96.79245283
93,海外,13,東京都,1,農水産品・食料工業品,7798.313927,518.6291811,8.335483871,6.933333333,"Agricultural, marine, and food products",Tokyo inbound,93,海外,518.6291811,7798.313927,6.933333333,8.335483871
