base_route_proxy_id,customer_count,vehicle_count,seed,route_proxy_distance_km
C025_V05_S053_R05,25,5,53,39.79435181630051
C025_V01_S054_R01,25,1,54,213.4609267832787
C025_V03_S054_R01,25,3,54,52.806445770281314
C025_V03_S054_R02,25,3,54,109.89939070772697
C025_V03_S054_R03,25,3,54,89.0570728233665
C025_V05_S054_R01,25,5,54,80.7577043014901
C025_V05_S054_R02,25,5,54,47.935535249230234
C025_V05_S054_R03,25,5,54,38.85744307885338
C025_V05_S054_R04,25,5,54,54.89894238262608
C025_V05_S054_R05,25,5,54,85.01937153509999
C025_V01_S055_R01,25,1,55,244.0636128636578
C025_V03_S055_R01,25,3,55,83.73141753638407
C025_V03_S055_R02,25,3,55,109.55034316741433
C025_V03_S055_R03,25,3,55,61.30255336214276
C025_V05_S055_R01,25,5,55,50.672371348596826
C025_V05_S055_R02,25,5,55,58.93143762678488
C025_V05_S055_R03,25,5,55,83.73141753638407
C025_V05_S055_R04,25,5,55,54.29917149027774
C025_V05_S055_R05,25,5,55,62.367671895599166
C025_V01_S056_R01,25,1,56,250.07540067428369
C025_V03_S056_R01,25,3,56,73.05172263542389
C025_V03_S056_R02,25,3,56,120.7404504219059
C025_V03_S056_R03,25,3,56,61.29372185404414
C025_V05_S056_R01,25,5,56,73.05172263542389
C025_V05_S056_R02,25,5,56,41.833647261989896
C025_V05_S056_R03,25,5,56,61.29372185404414
C025_V05_S056_R04,25,5,56,59.341745301653106
C025_V05_S056_R05,25,5,56,87.48594531871717
C025_V01_S057_R01,25,1,57,211.64255143211403
C025_V03_S057_R01,25,3,57,96.4312996183212
C025_V03_S057_R02,25,3,57,67.7171844731569
C025_V03_S057_R03,25,3,57,107.29287713080042
C025_V05_S057_R01,25,5,57,27.96525750747663
C025_V05_S057_R02,25,5,57,67.7171844731569
C025_V05_S057_R03,25,5,57,107.29287713080042
C025_V05_S057_R04,25,5,57,44.11846898942531
C025_V05_S057_R05,25,5,57,46.56291536513922
C025_V01_S058_R01,25,1,58,210.563434119707
C025_V03_S058_R01,25,3,58,81.48942682196031
C025_V03_S058_R02,25,3,58,77.19611029158821
C025_V03_S058_R03,25,3,58,100.74056047864956
C025_V05_S058_R01,25,5,58,91.09880960833097
C025_V05_S058_R02,25,5,58,47.13377791594638
C025_V05_S058_R03,25,5,58,66.25254537438764
